timestamp,UTC time,launchId,memory,battery,event,msg,d1,d2,d3,d4
1570496682436,2019-10-08T01:04:42.436,1570469314229,10,0.41,poll_service,Polling service,,,,738
1570496682445,2019-10-08T01:04:42.445,1570469314229,11,0.41,gps_on,GPS collection on,,,,739
1570496682473,2019-10-08T01:04:42.473,1570469314229,12,0.41,set_timer,Set timer for 59.97032690048218 seconds,59.97032690048218,,,740
1570496742532,2019-10-08T01:05:42.532,1570469314229,12,0.41,poll_service,Polling service,,,,741
1570496742533,2019-10-08T01:05:42.533,1570469314229,12,0.41,gps_off,GPS collection off,,,,742
1570496742562,2019-10-08T01:05:42.562,1570469314229,12,0.41,set_timer,Set timer for 659.9870798587799 seconds,659.9870798587799,,,743
1570496742622,2019-10-08T01:05:42.622,1570469314229,12,0.41,file_flush,Flushing lines to file,SG00110_gps_1570494885588,46,,744
1570496744395,2019-10-08T01:05:44.395,1570469314229,17,0.41,uploaded,Uploaded data file,SG00110_ios_log_1570494885587.csv,,,745
1570496746874,2019-10-08T01:05:46.874,1570469314229,17,0.41,uploaded,Uploaded data file,SG00110_gps_1570494885588.csv,,,746
1570496747260,2019-10-08T01:05:47.260,1570469314229,17,0.41,uploaded,Uploaded data file,SG00110_powerState_1570494885587.csv,,,747
1570496747267,2019-10-08T01:05:47.267,1570469314229,17,0.41,upload_complete,Upload Complete,3,,,748
1570497087375,2019-10-08T01:11:27.375,1570469314229,13,0.4,file_flush,Flushing lines to file,SG00110_powerState_1570496742724,3,,749
1570497087375,2019-10-08T01:11:27.375,1570469314229,13,0.4,file_create,Create new data file,SG00110_powerState_1570496742724,false,,750
1570497107536,2019-10-08T01:11:47.536,1570469314229,13,0.39,file_flush,Flushing lines to file,SG00110_powerState_1570496742724,1,,751
1570497402637,2019-10-08T01:16:42.637,1570469314229,10,0.39,poll_service,Polling service,,,,752
1570497402660,2019-10-08T01:16:42.660,1570469314229,11,0.39,gps_on,GPS collection on,,,,753
1570497402749,2019-10-08T01:16:42.749,1570469314229,11,0.39,set_timer,Set timer for 59.98741006851196 seconds,59.98741006851196,,,754
1570497462726,2019-10-08T01:17:42.726,1570469314229,10,0.39,poll_service,Polling service,,,,755
1570497462728,2019-10-08T01:17:42.728,1570469314229,10,0.39,gps_off,GPS collection off,,,,756
1570497462733,2019-10-08T01:17:42.733,1570469314229,11,0.39,set_timer,Set timer for 659.9961318969727 seconds,659.9961318969727,,,757
1570497462748,2019-10-08T01:17:42.748,1570469314229,12,0.39,file_flush,Flushing lines to file,SG00110_gps_1570496742725,64,,758
1570497462748,2019-10-08T01:17:42.748,1570469314229,12,0.39,file_create,Create new data file,SG00110_gps_1570496742725,false,,759
1570497476657,2019-10-08T01:17:56.657,1570469314229,10,0.38,file_flush,Flushing lines to file,SG00110_powerState_1570496742724,1,,760
1570497496950,2019-10-08T01:18:16.950,1570469314229,10,0.37,file_flush,Flushing lines to file,SG00110_powerState_1570496742724,1,,761
1570497714460,2019-10-08T01:21:54.460,1570469314229,10,0.37,memory_warn,Application received memory warning,,,,762
1570497765863,2019-10-08T01:22:45.863,1570469314229,14,0.37,memory_warn,Application received memory warning,,,,763
1570497989670,2019-10-08T01:26:29.670,1570469314229,11,0.36,file_flush,Flushing lines to file,SG00110_powerState_1570496742724,1,,764
1570498007791,2019-10-08T01:26:47.791,1570469314229,12,0.36,memory_warn,Application received memory warning,,,,765
1570498010023,2019-10-08T01:26:50.023,1570469314229,14,0.35,file_flush,Flushing lines to file,SG00110_powerState_1570496742724,1,,766
1570498030465,2019-10-08T01:27:10.465,1570469314229,13,0.34,file_flush,Flushing lines to file,SG00110_powerState_1570496742724,1,,767
1570498122741,2019-10-08T01:28:42.741,1570469314229,14,0.34,poll_service,Polling service,,,,768
1570498122748,2019-10-08T01:28:42.748,1570469314229,14,0.34,gps_on,GPS collection on,,,,769
1570498122782,2019-10-08T01:28:42.782,1570469314229,14,0.34,set_timer,Set timer for 59.97941994667053 seconds,59.97941994667053,,,770
1570498182784,2019-10-08T01:29:42.784,1570469314229,14,0.34,poll_service,Polling service,,,,771
1570498182787,2019-10-08T01:29:42.787,1570469314229,14,0.34,gps_off,GPS collection off,,,,772
1570498182794,2019-10-08T01:29:42.794,1570469314229,14,0.34,set_timer,Set timer for 659.9956922531128 seconds,659.9956922531128,,,773
1570498182804,2019-10-08T01:29:42.804,1570469314229,14,0.34,file_flush,Flushing lines to file,SG00110_gps_1570496742725,61,,774
1570498235336,2019-10-08T01:30:35.336,1570469314229,11,0.33,file_flush,Flushing lines to file,SG00110_powerState_1570496742724,1,,775
1570498255912,2019-10-08T01:30:55.912,1570469314229,12,0.32,file_flush,Flushing lines to file,SG00110_powerState_1570496742724,1,,776
1570498276394,2019-10-08T01:31:16.394,1570469314229,12,0.31,file_flush,Flushing lines to file,SG00110_powerState_1570496742724,1,,777
1570498522357,2019-10-08T01:35:22.357,1570469314229,11,0.3,file_flush,Flushing lines to file,SG00110_powerState_1570496742724,1,,778
1570498550022,2019-10-08T01:35:50.022,1570469314229,11,0.3,locked,Phone/keystore locked,,,,779
1570498550031,2019-10-08T01:35:50.031,1570469314229,12,0.3,file_flush,Flushing lines to file,SG00110_powerState_1570496742724,1,,780
1570498574441,2019-10-08T01:36:14.441,1570469314229,11,0.3,unlocked,Phone/keystore unlocked,,,,781
1570498574455,2019-10-08T01:36:14.455,1570469314229,11,0.3,file_flush,Flushing lines to file,SG00110_powerState_1570496742724,1,,782
1570498583727,2019-10-08T01:36:23.727,1570469314229,10,0.29,file_flush,Flushing lines to file,SG00110_powerState_1570496742724,1,,783
1570498593329,2019-10-08T01:36:33.329,1570469314229,10,0.29,memory_warn,Application received memory warning,,,,784
1570498604208,2019-10-08T01:36:44.208,1570469314229,13,0.28,file_flush,Flushing lines to file,SG00110_powerState_1570496742724,1,,785
1570498631605,2019-10-08T01:37:11.605,1570469314229,9,0.28,memory_warn,Application received memory warning,,,,786
1570498645131,2019-10-08T01:37:25.131,1570469314229,13,0.27,file_flush,Flushing lines to file,SG00110_powerState_1570496742724,1,,787
1570498665613,2019-10-08T01:37:45.613,1570469314229,13,0.26,file_flush,Flushing lines to file,SG00110_powerState_1570496742724,1,,788
1570498698394,2019-10-08T01:38:18.394,1570469314229,11,0.26,memory_warn,Application received memory warning,,,,789
1570498727152,2019-10-08T01:38:47.152,1570469314229,10,0.25,file_flush,Flushing lines to file,SG00110_powerState_1570496742724,1,,790
1570498829435,2019-10-08T01:40:29.435,1570469314229,10,0.24,file_flush,Flushing lines to file,SG00110_powerState_1570496742724,1,,791
1570498842882,2019-10-08T01:40:42.882,1570469314229,9,0.24,poll_service,Polling service,,,,792
1570498842908,2019-10-08T01:40:42.908,1570469314229,10,0.24,gps_on,GPS collection on,,,,793
1570498843075,2019-10-08T01:40:43.075,1570469314229,11,0.24,set_timer,Set timer for 59.833914041519165 seconds,59.833914041519165,,,794
1570498843248,2019-10-08T01:40:43.248,1570469314229,15,0.24,file_flush,Flushing lines to file,SG00110_gps_1570498843247,2,,795
1570498843248,2019-10-08T01:40:43.248,1570469314229,15,0.24,file_init,Init new data file,SG00110_gps_1570498843247,false,,796
1570498843812,2019-10-08T01:40:43.812,1570469314229,17,0.24,uploaded,Uploaded data file,SG00110_powerState_1570496742724.csv,,,797
1570498844077,2019-10-08T01:40:44.077,1570469314229,17,0.24,uploaded,Uploaded data file,SG00110_ios_log_1570496742724.csv,,,798
1570498844426,2019-10-08T01:40:44.426,1570469314229,17,0.24,uploaded,Uploaded data file,SG00110_gps_1570496742725.csv,,,799
1570498844443,2019-10-08T01:40:44.443,1570469314229,17,0.24,upload_complete,Upload Complete,3,,,800
1570498849997,2019-10-08T01:40:49.997,1570469314229,17,0.23,file_flush,Flushing lines to file,SG00110_powerState_1570498843252,3,,801
1570498849997,2019-10-08T01:40:49.997,1570469314229,17,0.23,file_create,Create new data file,SG00110_powerState_1570498843252,false,,802
1570498902960,2019-10-08T01:41:42.960,1570469314229,17,0.23,poll_service,Polling service,,,,803
1570498902962,2019-10-08T01:41:42.962,1570469314229,17,0.23,gps_off,GPS collection off,,,,804
1570498902967,2019-10-08T01:41:42.967,1570469314229,17,0.23,set_timer,Set timer for 659.9939799308777 seconds,659.9939799308777,,,805
1570498902987,2019-10-08T01:41:42.987,1570469314229,17,0.23,file_flush,Flushing lines to file,SG00110_gps_1570498843252,58,,806
1570498902987,2019-10-08T01:41:42.987,1570469314229,17,0.23,file_create,Create new data file,SG00110_gps_1570498843252,false,,807
1570499444397,2019-10-08T01:50:44.397,1570469314229,13,0.22,file_flush,Flushing lines to file,SG00110_powerState_1570498843252,1,,808
1570499464698,2019-10-08T01:51:04.698,1570469314229,13,0.21,file_flush,Flushing lines to file,SG00110_powerState_1570498843252,1,,809
1570499563051,2019-10-08T01:52:43.051,1570469314229,13,0.21,poll_service,Polling service,,,,810
1570499563052,2019-10-08T01:52:43.052,1570469314229,13,0.21,gps_on,GPS collection on,,,,811
1570499563059,2019-10-08T01:52:43.059,1570469314229,14,0.21,set_timer,Set timer for 59.99409317970276 seconds,59.99409317970276,,,812
1570499623115,2019-10-08T01:53:43.115,1570469314229,14,0.21,poll_service,Polling service,,,,813
1570499623117,2019-10-08T01:53:43.117,1570469314229,14,0.21,gps_off,GPS collection off,,,,814
1570499623128,2019-10-08T01:53:43.128,1570469314229,14,0.21,set_timer,Set timer for 659.9946868419647 seconds,659.9946868419647,,,815
1570499623137,2019-10-08T01:53:43.137,1570469314229,14,0.21,file_flush,Flushing lines to file,SG00110_gps_1570498843252,52,,816
1570499874701,2019-10-08T01:57:54.701,1570469314229,10,0.2,file_flush,Flushing lines to file,SG00110_powerState_1570498843252,1,,817
